Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00      101     0.00     0.00  LAMMPS_NS::CommBrick::reverse_comm()
  0.00      0.89     0.00      101     0.00     0.00  LAMMPS_NS::Integrate::ev_set(long)
  0.00      0.89     0.00      101     0.00     0.00  std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**), std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.89     0.00      100     0.00     0.00  LAMMPS_NS::FixNVE::final_integrate()
  0.00      0.89     0.00      100     0.00     0.00  LAMMPS_NS::FixNVE::initial_integrate(int)
  0.00      0.89     0.00      100     0.00     0.00  LAMMPS_NS::Modify::final_integrate()
  0.00      0.89     0.00      100     0.00     0.00  LAMMPS_NS::Modify::initial_integrate(int)
  0.00      0.89     0.00      100     0.00     0.00  LAMMPS_NS::Neighbor::decide()
  0.00      0.89     0.00      100     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, LAMMPS_NS::Fix* (*)(LAMMPS_NS::LAMMPS*, int, char**)> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.89     0.00       99     0.00     0.00  LAMMPS_NS::Pair::ev_unset()
  0.00      0.89     0.00       96     0.00     0.00  LAMMPS_NS::Memory::smalloc(long, char const*)
  0.00      0.89     0.00       95     0.00     0.21  LAMMPS_NS::CommBrick::forward_comm(int)
  0.00      0.89     0.00       94     0.00     0.00  decltype ({parm#1}(0)) fmt::v10_lmp::basic_format_arg<fmt::v10_lmp::basic_format_context<fmt::v10_lmp::appender, char> >::visit<fmt::v10_lmp::detail::default_arg_formatter<char> >(fmt::v10_lmp::detail::default_arg_formatter<char>&&)
  0.00      0.89     0.00       92     0.00     0.00  matchpattern
  0.00      0.89     0.00       91     0.00     0.00  LAMMPS_NS::TableFileReader::~TableFileReader()
  0.00      0.89     0.00       86     0.00     0.00  LAMMPS_NS::Atom::add_peratom(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, void*, int, int, int)
  0.00      0.89     0.00       84     0.00     0.00  decltype ({parm#1}(0)) fmt::v10_lmp::basic_format_arg<fmt::v10_lmp::basic_format_context<fmt::v10_lmp::appender, char> >::visit<fmt::v10_lmp::detail::arg_formatter<char> >(fmt::v10_lmp::detail::arg_formatter<char>&&)
