 time   seconds   seconds    calls  ms/call  ms/call  name    
 34.78      0.08     0.08      105     0.76     0.76  __mg_sum_grid_mod_MOD_mg_sum_grid
 30.43      0.15     0.07      100     0.70     0.70  __mg_stencil_comps_mod_MOD_mg_stencil_2d5pt
 17.39      0.19     0.04  5000002     0.00     0.00  __mg_utils_mod_MOD_mg_random_seed
  8.70      0.21     0.02        1    20.00    60.00  __mg_utils_mod_MOD_mg_grid_init
  4.35      0.22     0.01      100     0.10     0.10  __mg_flux_accumulate_mod_MOD_mg_flux_accumulate_2d5pt_3d7pt
  4.35      0.23     0.01                             _init
  0.00      0.23     0.00     1067     0.00     0.00  __mg_utils_mod_MOD_mg_timer
  0.00      0.23     0.00      263     0.00     0.00  __mg_utils_mod_MOD_mg_assert
  0.00      0.23     0.00      100     0.00     0.10  __mg_boundary_conditions_mod_MOD_mg_boundary_conditions
