 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.44      0.08     0.08      100     0.80     0.80  __mg_stencil_comps_mod_MOD_mg_stencil_2d5pt
 27.78      0.13     0.05        1    50.00    60.00  __mg_utils_mod_MOD_mg_grid_init
 16.67      0.16     0.03      105     0.29     0.29  __mg_sum_grid_mod_MOD_mg_sum_grid
  5.56      0.17     0.01  5000002     0.00     0.00  __mg_utils_mod_MOD_mg_random_seed
  5.56      0.18     0.01                             _init
  0.00      0.18     0.00     1067     0.00     0.00  __mg_utils_mod_MOD_mg_timer
  0.00      0.18     0.00      263     0.00     0.00  __mg_utils_mod_MOD_mg_assert
  0.00      0.18     0.00      100     0.00     0.00  __mg_boundary_conditions_mod_MOD_mg_boundary_conditions
  0.00      0.18     0.00      100     0.00     0.00  __mg_flux_accumulate_mod_MOD_mg_flux_accumulate_2d5pt_3d7pt
