 time   seconds   seconds    calls  ms/call  ms/call  name    
 43.75      0.07     0.07      100     0.70     0.70  __mg_stencil_comps_mod_MOD_mg_stencil_2d5pt
 25.00      0.11     0.04      105     0.38     0.38  __mg_sum_grid_mod_MOD_mg_sum_grid
 18.75      0.14     0.03        1    30.00    30.00  __mg_utils_mod_MOD_mg_grid_init
 12.50      0.16     0.02      100     0.20     0.20  __mg_flux_accumulate_mod_MOD_mg_flux_accumulate_2d5pt_3d7pt
  0.00      0.16     0.00  5000002     0.00     0.00  __mg_utils_mod_MOD_mg_random_seed
  0.00      0.16     0.00     1067     0.00     0.00  __mg_utils_mod_MOD_mg_timer
  0.00      0.16     0.00      263     0.00     0.00  __mg_utils_mod_MOD_mg_assert
  0.00      0.16     0.00      100     0.00     0.20  __mg_boundary_conditions_mod_MOD_mg_boundary_conditions
  0.00      0.16     0.00      100     0.00     0.00  __mg_pack_mod_MOD_mg_pack
